Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
96,95111,San Jose,CA,Santa Clara County,"52,097"
106,92201,Indio,CA,Riverside County,"51,423"
109,91702,Azusa,CA,Los Angeles County,"51,024"
111,92324,Colton,CA,San Bernardino County,"50,748"
157,92691,Mission Viejo,CA,Orange County,"46,325"
183,92128,San Diego,CA,San Diego County,"43,719"
195,91786,Upland,CA,San Bernardino County,"42,772"
205,92243,El Centro,CA,Imperial County,"42,086"
232,91790,West Covina,CA,Los Angeles County,"40,051"
240,92234,Cathedral City,CA,Riverside County,"39,609"
298,95351,Modesto,CA,Stanislaus County,"36,778"
385,90277,Redondo Beach,CA,Los Angeles County,"31,847"
6,92704,Santa Ana,CA,Orange County,"82,135"
11,90011,Los Angeles,CA,Los Angeles County,"79,469"
14,93033,Oxnard,CA,Ventura County,"77,549"
18,94565,Pittsburg,CA,Contra Costa County,"74,517"
33,94544,Hayward,CA,Alameda County,"65,008"
34,92509,Riverside,CA,Riverside County,"64,867"
35,92126,San Diego,CA,San Diego County,"64,251"
45,92805,Anaheim,CA,Orange County,"61,203"
65,92630,Lake Forest,CA,Orange County,"56,565"
72,93257,Porterville,CA,Tulare County,"55,076"
79,94110,San Francisco,CA,San Francisco County,"54,501"
82,92801,Anaheim,CA,Orange County,"53,556"
95,90042,Los Angeles,CA,Los Angeles County,"52,279"
97,90703,Cerritos,CA,Los Angeles County,"51,994"
140,92064,Poway,CA,San Diego County,"47,240"
145,92071,Santee,CA,San Diego County,"46,930"
161,92557,Moreno Valley,CA,Riverside County,"45,832"
176,93003,Ventura,CA,Ventura County,"44,177"
197,95350,Modesto,CA,Stanislaus County,"42,596"
201,90047,Los Angeles,CA,Los Angeles County,"42,193"
212,94577,San Leandro,CA,Alameda County,"41,391"
217,90275,Rancho Palos Verdes,CA,Los Angeles County,"41,117"
237,92530,Lake Elsinore,CA,Riverside County,"39,728"
250,91701,Rancho Cucamonga,CA,San Bernardino County,"39,251"
256,90032,Los Angeles,CA,Los Angeles County,"39,065"
276,90023,Los Angeles,CA,Los Angeles County,"38,061"
288,95129,San Jose,CA,Santa Clara County,"37,267"
290,92040,Lakeside,CA,San Diego County,"37,066"
3,91331,Pacoima,CA,Los Angeles County,"86,700"
20,92804,Anaheim,CA,Orange County,"72,507"
29,91710,Chino,CA,San Bernardino County,"66,234"
44,95823,Sacramento,CA,Sacramento County,"61,300"
56,95630,Folsom,CA,Sacramento County,"58,478"
77,90640,Montebello,CA,Los Angeles County,"54,639"
86,93030,Oxnard,CA,Ventura County,"53,101"
87,92105,San Diego,CA,San Diego County,"53,020"
92,93274,Tulare,CA,Tulare County,"52,570"
105,92129,San Diego,CA,San Diego County,"51,624"
114,95828,Sacramento,CA,Sacramento County,"50,500"
118,92057,Oceanside,CA,San Diego County,"50,108"
148,92692,Mission Viejo,CA,Orange County,"46,866"
155,92840,Garden Grove,CA,Orange County,"46,464"
200,94553,Martinez,CA,Contra Costa County,"42,245"
228,92880,Corona,CA,Riverside County,"40,234"
244,94521,Concord,CA,Contra Costa County,"39,355"
